place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"ottawa, ontario ",on,45.4626,-75.4695,unauthorized use of parks,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884783
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884784
"ottawa, ontario ",on,45.4286,-75.6731,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884785
"ottawa, ontario ",on,45.3653,-75.8015,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884786
"ottawa, ontario ",on,45.419,-75.6675,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884787
"ottawa, ontario ",on,45.3702,-75.6186,unauthorized use of parks,$880.00 ,yes,880,1,10,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884788
"ottawa, ontario ",on,45.4072,-75.7143,unauthorized use of parks,$880.00 ,yes,880,1,14,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884789
"ottawa, ontario ",on,45.4228,-75.6777,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884790
"ottawa, ontario ",on,45.4286,-75.6731,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884791
"ottawa, ontario ",on,45.4286,-75.6731,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884792
"ottawa, ontario ",on,45.4286,-75.6731,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884793
"ottawa, ontario ",on,45.449739,-75.472092,unauthorized use of parks,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884794
"ottawa, ontario ",on,45.4286,-75.6731,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884795
"ottawa, ontario ",on,45.2869,-75.7165,unauthorized use of parks,$880.00 ,yes,880,1,22,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884796
"ottawa, ontario ",on,45.2951,-75.902,unauthorized use of parks,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884797
"ottawa, ontario ",on,45.3999984,-75.6833306,gathering of 5 or more ,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884798
"ottawa, ontario ",on,45.2999988,-75.8666632,gathering of 5 or more ,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884799
"ottawa, ontario ",on,45.4154,-75.6964,open non-essential business,$880.00 ,yes,880,1,14,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884800
"ottawa, ontario ",on,45.373,-75.6549,unauthorized use of parks,$880.00 ,yes,880,1,16,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884801
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884802
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884803
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884804
"ottawa, ontario ",on,45.2869,-75.7165,unauthorized use of parks,$880.00 ,yes,880,1,22,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884805
"ottawa, ontario ",on,45.2869,-75.7165,unauthorized use of parks,$880.00 ,yes,880,1,22,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884806
"ottawa, ontario ",on,45.4676,-75.3582,gathering of 5 or more ,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884807
